url,title,location,latitude,longitude,status,price,description,property_type,available_date,photo_count,first_photo_url,all_photos,photos
https://www.spareroom.co.uk/flatshare/london/hackney/17913068?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,"2 Rooms Available In The Same Flat, Next To River!",Hackney,51.5530376,-0.0332311,available,885,"We’re offering two lovely double rooms in a bright and well-located flat in Homerton (E9 5PN) — just a short distance from Hackney Central, Clapton, Hackney Wick, and Stratford.Both rooms are available now.Room 1 (the larger one) is also suitable for couples.Virtual viewings are available for your convenience.🛏 ROOM DETAILSEach room is fully furnished with: • A comfortable double bed • Wardrobe • Chest of drawers • Bedside drawers • Bookcase • Large mirror • Table and chairsYour privacy is respe...",Room,,12,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/00/97005918.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/00/97005918.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005949.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005937.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005930.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005964.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005967.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005972.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005969.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005974.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005982.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005992.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/40/34/40347841.jpg","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/00/97005918.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005949.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005937.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005930.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005964.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005967.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005972.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005969.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005974.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005982.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005992.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/40/34/40347841.jpg""]"
https://www.spareroom.co.uk/flatshare/london/stepney_green/17919701?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,💥 Stunning Room In Stepney Green September 💥,Stepney Green,51.5193319,-0.045538,available,1080,"📍 E1 | 10 Min Walk to Stepney Green Station🏡 Stylish & Fully Furnished Double Rooms in a renovated 4-bed house with:✅ Modern kitchen✅ Shared bathroom & toilet✅ Private garden✅ Smart TV & Smart Lock in every room for extra comfort & security📆 Available Rooms & Dates:🔑 Room 1 – Available 10th Sept | £1100/month (SINGLE USE ONLY)💰 Deposit = 1 Month’s Rent📝 Minimum Stay: 7 Months✨ ALL BILLS INCLUDED:✔️ Council Tax, Gas, Electricity, Water✔️ Superfast Fibre WiFi 🌐✔️ Regular Maintenance 🛠️📱 Support vi...",Room,,8,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/06/97060490.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/06/97060490.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/06/97060491.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/06/97060486.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/06/97060484.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/06/97060487.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/06/97060485.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/06/97060489.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/09/95099242.jpg","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/06/97060490.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/06/97060491.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/06/97060486.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/06/97060484.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/06/97060487.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/06/97060485.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/06/97060489.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/09/95099242.jpg""]"
https://www.spareroom.co.uk/flatshare/london/finsbury_park/17912019?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,5 Double Rooms Manor House- Parking,Finsbury Park,51.5767549,-0.1038943,available,825,"📍 Spacious Rooms for Rent – Manor House N4 – 7 min from Tube 🚇 We’re offering rooms in a large, fully furnished house in Manor House (N4 ), just a 7-minute walk to the Underground station (Zone 2) — ideal for students or professionals. 🛏️ Each room includes: ✔️ bed and mattress (configurable on request) ✔️ Wardrobe ✔️ Chest of drawers ✔️ Desk and chair (on request) ✔️ some includes a sofa Room details & prices (All bills included): 🔹 Room 1 – £900/month (£950 for couples) 🔹 Room 2 – £900/month (...",Room,,9,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/01/97017033.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/01/97017033.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017044.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017032.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017034.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017035.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017037.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017036.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017038.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017053.jpg","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/01/97017033.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017044.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017032.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017034.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017035.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017037.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017036.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017038.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017053.jpg""]"
https://www.spareroom.co.uk/flatshare/london/wandsworth_road/17917106?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,2 Amazing Rooms in Battersea!! Av. from September,Wandsworth Road,51.4710509,-0.1412682,available,1083,"We offer 2 superb double bedrooms within a 3-bed flat with stunning views over London, located moments from Wandsworth Road station and Clapham Old Town. This spacious flat also features a concierge.Property features:- Three Bedroom Flat- Great Views over London- Secure well-maintained Block- Minutes from Wandsworth Road BR📑 Terms and Conditions:ROOM 1: £1083 per month - SINGLE USEROOM 2: £996 per month - SINGLE USE- One month deposit, protected in a tenancy deposit scheme- Gas and Electricity a...",Room,,10,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/03/97038664.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/03/97038664.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038662.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038668.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/28/97282374.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/28/97282375.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038675.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038677.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038683.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038685.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038687.jpg","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/03/97038664.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038662.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038668.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/28/97282374.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/28/97282375.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038675.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038677.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038683.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038685.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038687.jpg""]"
https://www.spareroom.co.uk/flatshare/london/hackney/17913068?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,"2 Rooms Available In The Same Flat, Next To River!",Hackney,51.5530376,-0.0332311,available,885,"We’re offering two lovely double rooms in a bright and well-located flat in Homerton (E9 5PN) — just a short distance from Hackney Central, Clapton, Hackney Wick, and Stratford.Both rooms are available now.Room 1 (the larger one) is also suitable for couples.Virtual viewings are available for your convenience.🛏 ROOM DETAILSEach room is fully furnished with: • A comfortable double bed • Wardrobe • Chest of drawers • Bedside drawers • Bookcase • Large mirror • Table and chairsYour privacy is respe...",Room,,12,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/00/97005918.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/00/97005918.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005949.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005937.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005930.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005964.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005967.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005972.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005969.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005974.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005982.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005992.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/40/34/40347841.jpg","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/00/97005918.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005949.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005937.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005930.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005964.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005967.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005972.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005969.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005974.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005982.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/00/97005992.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/40/34/40347841.jpg""]"
https://www.spareroom.co.uk/flatshare/london/canada_water/17890557?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,3 Bed 2 Bath on Rotherhithe Street SE16,Canada Water,51.5061388,-0.0352665,available,1266,"3 bed 2 bath maisonette split over 2 floors with ample storage space and parking. Benefits include a fully fitted kitchen, wood laminate flooring, small patio to the front, and is offered furnished . In great decorative condition throughout. Situated in close proximity to Canada Water shopping centre Jubilee line; bus routes to London Bridge, Waterloo Victoria; Rotherhithe East London Line station and mins from the river taxi for a 4 min commute to Canary Wharf as well as access to other locatio...",,,18,https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821434.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821434.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821398.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821399.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821403.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821401.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821405.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821421.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821420.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821432.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821453.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821433.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821435.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821464.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821465.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96824355.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/15/97150683.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/42/95423385.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/69/74/69741784.jpg","[""https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821434.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821398.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821399.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821403.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821401.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821405.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821421.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821420.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821432.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821453.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821433.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821435.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821464.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821465.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96824355.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/15/97150683.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/42/95423385.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/69/74/69741784.jpg""]"
https://www.spareroom.co.uk/flatshare/london/mile_end/17925584?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,🆕Co-Living|2 Rooms|Bills Inc. Safe Agency,Mile End,51.52919728,-0.02788994,available,1030,"🙋‍♂️Looking for a place to call home?🎯 All our properties has a living room + Television.ALL BILLS INCLUDEDWe're here to help you find your ideal room effortlessly.This room is not for you? Feel free to contact me on WHATSAPP for more suitable rooms!Advantages of these Property:5 weeks of deposit applySpacious!! so no queues in the morning!Get to work on time as the station is close close close!*All bills included, including a bi-monthly cleaner to come and clean the kitchen and bathroomThrough ...",Room,,8,https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97108004.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97108004.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97108003.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97107997.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97107995.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97107996.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97107998.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97107999.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97108000.jpg","[""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97108004.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97108003.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97107997.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97107995.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97107996.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97107998.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97107999.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97108000.jpg""]"
https://www.spareroom.co.uk/flatshare/london/north_kensington/17678865?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,Double Bedsit North Kensington W10 (Yarr),North Kensington,51.5224454,-0.2245203,available,850,"A large double bedroom to rent in an ex-council flat. The room is furnished with a double bed, storage, carpet, double glazed windows and gas central heating. Share the bathroom and kitchen with one other person only. The property is well located with 70,7,220 and 316 buses being within a 10 minute walk. Ladbroke Grove station and Latimer Road station (Hammersmith and City Line) being a 20 minute walk as well as Westfield Shopping Centre easily reachable. RENT INCLUDES COUNCIL TAX, WATER AND WIF...",Room,,2,https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/02/95021099.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/02/95021099.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/02/95021100.jpg","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/02/95021099.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/02/95021100.jpg""]"
https://www.spareroom.co.uk/flatshare/london/stratford/16971312?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,✨ Cosy Room in Stratford From September ✨,Stratford,51.5422313,0.0153501,available,860,"Double room in Stratford📅 Available from 1st September📍E15 4AB🚊15 min walk from Maryland & Stratford stations🏠 Fully furnished roomThis is a 5 bedroom house with kitchen/dining room, 2 bathrooms and a garden💶 Rent: £860 per monthDeposit: 1 month of rent✍️ Minimum 7-month contract👭 No couples, 1 occupant only👩🎓 Students allowed => 3 months' rent upfront will be asked (+ security deposit)💎All bills are included (Gas, Electricity, Water, Council Tax, Internet)🌐 Fibre high-speed internet🔑 Maintenanc...",Room,,7,https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499635.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499635.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499636.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499637.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499647.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499648.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499649.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/09/95099242.jpg","[""https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499635.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499636.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499637.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499647.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499648.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499649.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/09/95099242.jpg""]"
https://www.spareroom.co.uk/flatshare/greater_london/ilford/17933000?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,🏡 Lovely Ensuite Room in Newbury Park ✨,N/A,51.5744522,0.0958892,available,1100,"📍 IG3 8JF – Prime location just 8 minutes from Newbury Park Station📆 Available from 1 October🛏 Private Ensuite Room – Fully Furnished & Move-In Ready💶 Rent: £1,100/month💰 Deposit / Rental Refund: 1 month’s rent✨ What’s Included?✅ All Bills Included – No Hidden Costs!✅ High-Speed Fibre Internet 🌐✅ Ongoing Maintenance – Stress-Free Living 🔧✅ Modern Furnishings – Comfort & Style🎓 Students & Recent Grads➡️ If unemployed or no income proof: 3 months’ rent upfront + deposit required.📢 This is a Servic...",Room,,8,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/16/97168615.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/16/97168615.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168616.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168617.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168614.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168612.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168613.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168610.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168611.jpg","[""https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/16/97168615.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168616.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168617.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168614.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168612.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168613.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168610.jpg"", ""https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168611.jpg""]"
