ages,all_photos,amenities,any_pets,available,available_date,balcony_roof_terrace,bills_included,broadband_included,contact_info,couples_allowed,deposit,deposit(room_1),deposit(room_2),deposit(room_3),deposit(room_4),deposit(room_5),description,disabled_access,first_photo_url,furnishings,garage,garden_patio,gender,latitude,living_room,location,longitude,management_company,max_age,maximum_term,min_age,minimum_term,"number
________
________
__________housemates","number
________flatmates",occupation,parking,pets_allowed,photo_count,price,price_pcm,property_type,references,room_type,security_deposit,smalloweding_allowed,smoker,title,total_number_rooms,url
22,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/01/97017033.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017044.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017032.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017034.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017035.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017037.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017036.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017038.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017053.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/TUBE_14x11.png",Parking,No,Now,now,No,Yes,Yes,Free tocontact,Yes,,£825.00,£900.00,£875.00,£900.00,£875.00,House shareFinsbury ParkN4Area infoManor House StationTube map5-10 minutes walk awayView on map£825 pcmdouble£900 pcmdouble£875 pcmdouble£900 pcmdouble£875 pcmdoubleAvailabilityAvailableNowMinimum termNoneMaximum termNoneExtra costDeposit(Room 1)£825.00Deposit(Room 2)£900.00Deposit(Room 3)£875.00Dep...,No,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/01/97017033.jpg,Furnished,No,Yes,"1 Female, 1 Male",51.5767549,No,Finsbury Park,-0.1038943,,,,18,,2,,Available to all,Yes,No,10,825,£825 pcm,Room,Yes,double,,Yes,No,5 Double Rooms Manor House- Parking,7,https://www.spareroom.co.uk/flatshare/london/finsbury_park/17912019
,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/03/97038664.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038662.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038668.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038675.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038677.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038683.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038685.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038687.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/LDNOG_14x11.png, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/BR_14x11.png",Bills Included,No,01 Sep 2025,,No,Some,Yes,Free tocontact,No,,"£1,083.00","£1,083.00",,,,"Flat shareWandsworth RoadSW8Area infoWandsworth Road StationTube map0-5 minutes walk awayView on map£1,083 pcmdouble£1,083 pcmdoubleAvailabilityAvailable01 Sep 2025Minimum term12 monthsMaximum termNoneExtra costDeposit(Room 1)£1,083.00Deposit(Room 2)£1,083.00Bills included?SomeAmenitiesFurnishingsFu...",No,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/03/97038664.jpg,Furnished,No,No,"1 Female, 1 Male",51.4710509,No,Wandsworth Road,-0.1412682,UK London Flat,,,,12 months,,2,Available to all,No,No,10,1083,"£1,083 pcm",Room,Yes,double,,No,No,2 Amazing Rooms in Battersea!! Av. from September,3,https://www.spareroom.co.uk/flatshare/london/wandsworth_road/17917106
,"https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821434.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821398.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821399.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821403.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821401.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821405.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821421.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821420.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821432.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821453.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821433.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821435.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821464.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821465.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96824355.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/15/97150683.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/42/95423385.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/69/74/69741784.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/TUBE_14x11.png, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/LDNOG_14x11.png",,No,13 Sep 2025,,Yes,No,No,Free tocontact,No,,,,,,,"House
        to rentCanada WaterSE16Area infoCanada Water StationTube map10-15 minutes walk awayView on map£3,500 pcm(whole property)This ad is for a 3 bed house
        
          and is not available by the room.Why notbuddy up?Find potential buddy ups to share this property withFind out more »Su...",No,https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/82/96821434.jpg,Furnished,No,No,,51.5061388,own,Canada Water,-0.0352665,JD Corp Management,,,,12 months,,,Available to all,Yes,Yes,20,,,Room,Yes,,"£4,038.46",Yes,No,3 Bed 2 Bath on Rotherhithe Street SE16,,https://www.spareroom.co.uk/flatshare/london/canada_water/17890557
,"https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97108004.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97108003.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97107997.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97107995.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97107996.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97107998.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97107999.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97108000.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/82/15/82155690.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/TUBE_14x11.png","Parking, Garden, Bills Included, Furnished",No,Now,now,Yes,Yes,Yes,Free tocontact,No,,£0.00,£0.00,,,,"Flat shareMile EndE3Area infoBow Road StationTube map0-5 minutes walk awayView on map£1,030 pcmdouble£978 pcmdoubleAvailabilityAvailableNowMinimum termNoneMaximum termNoneExtra costDeposit(Room 1)£0.00Deposit(Room 2)£0.00Bills included?YesAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioYes...",No,https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97108004.jpg,Furnished,No,Yes,"1 Female, 1 Male",51.529197278543,shared,Mile End,-0.0278899369154035,Pisoria Ltd,,,,,,2,Available to all,No,No,10,1030,"£1,030 pcm",Room,No,double,,Yes,No,🆕Co-Living|2 Rooms|Bills Inc. Safe Agency,4,https://www.spareroom.co.uk/flatshare/london/mile_end/17925584
,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/02/95021099.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/02/95021100.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/TUBE_14x11.png","Parking, Garden, Balcony, Bills Included, Furnished",No,Now,now,Yes,Some,Yes,Free tocontact,No,850,,,,,,Flat shareNorth KensingtonW10Area infoLadbroke Grove StationTube map15-20 minutes walk awayView on map£850 pcmdoubleAvailabilityAvailableNowMinimum term6 monthsMaximum termNoneExtra costDeposit£850.00Bills included?SomeAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioNoBalcony/roof terraceY...,No,https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/02/95021099.jpg,Furnished,No,No,Male,51.5224454,No,North Kensington,-0.2245203,North Kensington Property Consultants,,,,6 months,,1,Available to all,No,No,3,850,£850 pcm,Flat,Yes,double,,Yes,No,Double Bedsit North Kensington W10 (Yarr),2,https://www.spareroom.co.uk/flatshare/london/north_kensington/17678865
22,"https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499635.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499636.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499637.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499647.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499648.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499649.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/09/95099242.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/BR_14x11.png","Parking, Garden, Balcony, Bills Included, Furnished",No,01 Sep 2025,,No,Yes,Yes,Free tocontact,No,850,,,,,,House shareStratfordE15Area infoMaryland StationTube map10-15 minutes walk awayView on map£850 pcmdoubleAvailabilityAvailable01 Sep 2025Minimum term7 monthsMaximum termNoneExtra costDeposit£850.00Bills included?YesAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioYesBalcony/roof terraceNoDis...,No,https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499635.jpg,Furnished,No,Yes,"1 Female, 3 Males",51.5422313,No,Stratford,0.0153501,Banksia Limited,39,,18,7 months,4,,Available to all,No,No,8,850,£850 pcm,Room,Yes,double,,Yes,No,✨ Cosy Room in Stratford From September ✨,5,https://www.spareroom.co.uk/flatshare/london/stratford/16971312
20,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/16/97168615.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168616.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168617.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168614.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168612.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168613.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168610.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168611.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/09/95099242.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/TUBE_14x11.png","Parking, Garden, Balcony, Ensuite, Bills Included, Furnished",No,01 Sep 2025,,No,Yes,Yes,Free tocontact,No,1100,,,,,,"House shareIlfordIG3Area infoNewbury Park StationTube map5-10 minutes walk awayView on map£1,100 pcmdouble En suiteAvailabilityAvailable01 Sep 2025Minimum term7 monthsMaximum termNoneExtra costDeposit£1,100.00Bills included?YesAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioYesBalcony/roof...",No,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/16/97168615.jpg,Furnished,No,Yes,"1 Female, 3 Males",51.5744522,No,,0.0958892,Banksia Limited,39,,18,7 months,4,,Available to all,No,No,10,1100,"£1,100 pcm",Room,Yes,double En suite,,Yes,No,🏡 Lovely Ensuite Room in Newbury Park ✨,5,https://www.spareroom.co.uk/flatshare/greater_london/ilford/17933000
,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/19/97199879.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017008.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017010.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/19/97199880.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/19/97199882.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/19/97199883.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/19/97199886.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/19/97199887.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/83/07/83075185.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/TUBE_14x11.png","Parking, Garden, Ensuite, Bills Included, Furnished",No,Now,now,No,Yes,Yes,Free tocontact,Yes,1000,,,,,,"House shareManor HouseN4Area infoManor House StationTube map0-5 minutes walk awayView on map£1,000 pcmdouble En suiteAvailabilityAvailableNowMinimum term11 monthsMaximum termNoneShort lets consideredExtra costDeposit£1,000.00Bills included?YesAmenitiesFurnishingsFurnishedParkingYesGarageNoGarden/pat...",No,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/19/97199879.jpg,Furnished,No,Yes,"4 Females, 2 Males",51.5781389,shared,Manor House,-0.0971833,COME TO LONDON LIMITED,,,18,11 months,6,,Available to all,Yes,No,10,1000,"£1,000 pcm",Room,No,double En suite,,Yes,No,Huge Ensuite Room In Manor House- Zone 2,6,https://www.spareroom.co.uk/flatshare/london/manor_house/17903867
,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/17/97178103.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/17/97178092.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/17/97178094.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/17/97178102.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/17/97178106.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/17/97178105.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/17/97178107.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/17/97178141.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/17/97178142.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/83/07/83075185.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/TUBE_14x11.png",,No,Now,now,No,Yes,Yes,Free tocontact,Yes,,£800.00,£850.00,£825.00,£900.00,£875.00,House shareManor HouseN4Area infoManor House StationTube map5-10 minutes walk awayView on map£800 pcmdouble£850 pcmdouble£825 pcmdouble£900 pcmdouble£875 pcmdoubleAvailabilityAvailableNowMinimum termNoneMaximum termNoneExtra costDeposit(Room 1)£800.00Deposit(Room 2)£850.00Deposit(Room 3)£825.00Depos...,No,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/17/97178103.jpg,Furnished,No,Yes,Male,51.5785763,No,Manor House,-0.1003114,COME TO LONDON LIMITED,,,,,1,,Available to all,No,No,11,800,£800 pcm,Room,Yes,double,,Yes,No,5 Double Rooms Manor House- Zone 2,6,https://www.spareroom.co.uk/flatshare/london/manor_house/17934157
25,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/73/96734720.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/88/11/88118925.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/88/11/88118928.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/88/11/88118926.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/88/11/88118927.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/73/96734723.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/73/96734724.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/73/96734729.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/83/07/83075185.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/TUBE_14x11.png, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/BR_14x11.png","Parking, Garden, Balcony, Bills Included, Furnished",No,Now,now,Yes,Yes,Yes,Free tocontact,Yes,850,,,,,,Flat shareSeven SistersN15Area infoSeven Sisters StationTube map5-10 minutes walk awayView on map£850 pcmdoubleAvailabilityAvailableNowMinimum term2 monthsMaximum termNoneExtra costDeposit£850.00Bills included?YesAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioYesBalcony/roof terraceYesDis...,No,https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/73/96734720.jpg,Furnished,No,Yes,3 Males,51.5829118993446,shared,Seven Sisters,-0.0860454491774645,COME TO LONDON LIMITED,,,18,2 months,,3,Available to all,No,No,11,850,£850 pcm,Room,No,double,,Yes,No,Double Room In Seven Sisters Station,5,https://www.spareroom.co.uk/flatshare/london/seven_sisters/16754935
