id,url,title,location,latitude,longitude,price,description,property_type,available_date,photo_count,first_photo_url,all_photos,contact_info,management_company,amenities,age,ages,any_pets,available,balcony_roof_terrace,bills_included,broadband_included,couples_allowed,deposit,deposit_room_1,deposit_room_2,deposit_room_3,deposit_room_4,disabled_access,furnishings,garage,garden_patio,gender,living_room,max_age,maximum_term,min_age,minimum_term,number,created_at,updated_at,status
1,https://www.spareroom.co.uk/flatshare/london/finsbury_park/17912019?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,"5 Double Rooms Manor House- Parking","Finsbury Park",51.5767549,-0.1038943,"£825 pcm","House shareFinsbury ParkN4Area infoManor House StationTube map5-10 minutes walk awayView on map£825 pcmdouble£900 pcmdouble£875 pcmdouble£900 pcmdouble£875 pcmdoubleAvailabilityAvailableNowMinimum termNoneMaximum termNoneExtra costDeposit(Room 1)£825.00Deposit(Room 2)£900.00Deposit(Room 3)£875.00Dep...",Room,now,10,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/01/97017033.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/01/97017033.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017044.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017032.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017034.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017035.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017037.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017036.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017038.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017053.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/TUBE_14x11.png","Free tocontact",N/A,Parking,,"22 to 25",No,Now,No,Yes,Yes,Yes,,,,,,No,Furnished,No,Yes,"1 Female, 1 Male",No,,None,18,None,,"2025-08-18 12:18:14","2025-08-18 12:18:14",available
2,https://www.spareroom.co.uk/flatshare/london/wandsworth_road/17917106?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,"2 Amazing Rooms in Battersea!! Av. from September","Wandsworth Road",51.4710509,-0.1412682,"£1,083 pcm","Flat shareWandsworth RoadSW8Area infoWandsworth Road StationTube map0-5 minutes walk awayView on map£1,083 pcmdouble£1,083 pcmdoubleAvailabilityAvailable01 Sep 2025Minimum term12 monthsMaximum termNoneExtra costDeposit(Room 1)£1,083.00Deposit(Room 2)£1,083.00Bills included?SomeAmenitiesFurnishingsFu...",Room,N/A,10,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/03/97038664.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/03/97038664.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038662.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038668.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038675.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038677.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038683.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038685.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/03/97038687.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/LDNOG_14x11.png, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/BR_14x11.png","Free tocontact","UK London Flat","Bills Included",,,No,1-Sep-25,No,Some,Yes,No,,,,,,No,Furnished,No,No,"1 Female, 1 Male",No,,None,,"12 months",,"2025-08-18 12:18:14","2025-08-18 12:18:14",available
3,https://www.spareroom.co.uk/flatshare/london/mile_end/17925584?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,"🆕Co-Living|2 Rooms|Bills Inc. Safe Agency","Mile End",51.52919728,-0.027889937,"£1,030 pcm","Flat shareMile EndE3Area infoBow Road StationTube map0-5 minutes walk awayView on map£1,030 pcmdouble£978 pcmdoubleAvailabilityAvailableNowMinimum termNoneMaximum termNoneExtra costDeposit(Room 1)£0.00Deposit(Room 2)£0.00Bills included?YesAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioYes...",Room,now,10,https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97108004.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97108004.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97108003.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97107997.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97107995.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97107996.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97107998.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97107999.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/10/97108000.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/82/15/82155690.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/TUBE_14x11.png","Free tocontact","Pisoria Ltd","Parking, Garden, Bills Included, Furnished",,,No,Now,Yes,Yes,Yes,No,,,,,,No,Furnished,No,Yes,"1 Female, 1 Male",shared,,None,,None,,"2025-08-18 12:18:14","2025-08-18 12:18:14",available
4,https://www.spareroom.co.uk/flatshare/london/north_kensington/17678865?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,"Double Bedsit North Kensington W10 (Yarr)","North Kensington",51.5224454,-0.2245203,"£850 pcm","Flat shareNorth KensingtonW10Area infoLadbroke Grove StationTube map15-20 minutes walk awayView on map£850 pcmdoubleAvailabilityAvailableNowMinimum term6 monthsMaximum termNoneExtra costDeposit£850.00Bills included?SomeAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioNoBalcony/roof terraceY...",Flat,now,3,https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/02/95021099.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/02/95021099.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/02/95021100.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/TUBE_14x11.png","Free tocontact","North Kensington Property Consultants","Parking, Garden, Balcony, Bills Included, Furnished",,,No,Now,Yes,Some,Yes,No,£850.00,,,,,No,Furnished,No,No,Male,No,,None,,"6 months",,"2025-08-18 12:18:14","2025-08-18 12:18:14",available
5,https://www.spareroom.co.uk/flatshare/london/stratford/16971312?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,"�� Cosy Room in Stratford From September ��",Stratford,51.5422313,0.0153501,"£850 pcm","House shareStratfordE15Area infoMaryland StationTube map10-15 minutes walk awayView on map£850 pcmdoubleAvailabilityAvailable01 Sep 2025Minimum term7 monthsMaximum termNoneExtra costDeposit£850.00Bills included?YesAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioYesBalcony/roof terraceNoDis...",Room,N/A,8,https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499635.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499635.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499636.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499637.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499647.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499648.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/89/49/89499649.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/09/95099242.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/BR_14x11.png","Free tocontact","Banksia Limited","Parking, Garden, Balcony, Bills Included, Furnished",,"22 to 35",No,1-Sep-25,No,Yes,Yes,No,£850.00,,,,,No,Furnished,No,Yes,"1 Female, 3 Males",No,39,None,18,"7 months",,"2025-08-18 12:18:14","2025-08-18 12:18:14",available
6,https://www.spareroom.co.uk/flatshare/greater_london/ilford/17933000?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,"🏡 Lovely Ensuite Room in Newbury Park ��",N/A,51.5744522,0.0958892,"£1,100 pcm","House shareIlfordIG3Area infoNewbury Park StationTube map5-10 minutes walk awayView on map£1,100 pcmdouble En suiteAvailabilityAvailable01 Sep 2025Minimum term7 monthsMaximum termNoneExtra costDeposit£1,100.00Bills included?YesAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioYesBalcony/roof...",Room,N/A,10,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/16/97168615.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/16/97168615.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168616.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168617.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168614.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168612.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168613.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168610.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/16/97168611.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/09/95099242.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/TUBE_14x11.png","Free tocontact","Banksia Limited","Parking, Garden, Balcony, Ensuite, Bills Included, Furnished",,"20 to 35",No,1-Sep-25,No,Yes,Yes,No,"£1,100.00",,,,,No,Furnished,No,Yes,"1 Female, 3 Males",No,39,None,18,"7 months",,"2025-08-18 12:18:14","2025-08-18 12:18:14",available
7,https://www.spareroom.co.uk/flatshare/london/manor_house/17903867?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,"Huge Ensuite Room In Manor House- Zone 2","Manor House",51.5781389,-0.0971833,"£1,000 pcm","House shareManor HouseN4Area infoManor House StationTube map0-5 minutes walk awayView on map£1,000 pcmdouble En suiteAvailabilityAvailableNowMinimum term11 monthsMaximum termNoneShort lets consideredExtra costDeposit£1,000.00Bills included?YesAmenitiesFurnishingsFurnishedParkingYesGarageNoGarden/pat...",Room,now,10,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/19/97199879.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/19/97199879.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017008.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/01/97017010.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/19/97199880.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/19/97199882.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/19/97199883.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/19/97199886.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/19/97199887.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/83/07/83075185.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/TUBE_14x11.png","Free tocontact","COME TO LONDON LIMITED","Parking, Garden, Ensuite, Bills Included, Furnished",,,No,Now,No,Yes,Yes,Yes,"£1,000.00",,,,,No,Furnished,No,Yes,"4 Females, 2 Males",shared,,None,18,"11 months",,"2025-08-18 12:18:14","2025-08-18 12:18:14",available
8,https://www.spareroom.co.uk/flatshare/london/manor_house/17934157?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,"5 Double Rooms Manor House- Zone 2","Manor House",51.5785763,-0.1003114,"£800 pcm","House shareManor HouseN4Area infoManor House StationTube map5-10 minutes walk awayView on map£800 pcmdouble£850 pcmdouble£825 pcmdouble£900 pcmdouble£875 pcmdoubleAvailabilityAvailableNowMinimum termNoneMaximum termNoneExtra costDeposit(Room 1)£800.00Deposit(Room 2)£850.00Deposit(Room 3)£825.00Depos...",Room,now,11,https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/17/97178103.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/97/17/97178103.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/17/97178092.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/17/97178094.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/17/97178102.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/17/97178106.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/17/97178105.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/17/97178107.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/17/97178141.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/97/17/97178142.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/83/07/83075185.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/TUBE_14x11.png","Free tocontact","COME TO LONDON LIMITED",N/A,,,No,Now,No,Yes,Yes,Yes,,,,,,No,Furnished,No,Yes,Male,No,,None,,None,,"2025-08-18 12:18:14","2025-08-18 12:18:14",available
9,https://www.spareroom.co.uk/flatshare/london/seven_sisters/16754935?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,"Double Room In Seven Sisters Station","Seven Sisters",51.5829119,-0.086045449,"£850 pcm","Flat shareSeven SistersN15Area infoSeven Sisters StationTube map5-10 minutes walk awayView on map£850 pcmdoubleAvailabilityAvailableNowMinimum term2 monthsMaximum termNoneExtra costDeposit£850.00Bills included?YesAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioYesBalcony/roof terraceYesDis...",Room,now,11,https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/73/96734720.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/96/73/96734720.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/88/11/88118925.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/88/11/88118928.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/88/11/88118926.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/88/11/88118927.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/73/96734723.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/73/96734724.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/96/73/96734729.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/83/07/83075185.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/TUBE_14x11.png, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/BR_14x11.png","Free tocontact","COME TO LONDON LIMITED","Parking, Garden, Balcony, Bills Included, Furnished",,"25 to 34",No,Now,Yes,Yes,Yes,Yes,£850.00,,,,,No,Furnished,No,Yes,"3 Males",shared,,None,18,"2 months",,"2025-08-18 12:18:14","2025-08-18 12:18:14",available
10,https://www.spareroom.co.uk/flatshare/london/battersea_park/17723035?utm_source=copy_link&utm_medium=social_share&utm_campaign=advert_share,"Double room in a 3-bed Flat in Battersea Park!","Battersea Park",51.4733384,-0.1540054,"£1,083 pcm","Flat shareBattersea parkSW11Area infoBattersea Park StationTube map5-10 minutes walk awayView on map£1,083 pcmdoubleAvailabilityAvailable01 Sep 2025Minimum term12 monthsMaximum termNoneExtra costDeposit£1,083.00Bills included?SomeAmenitiesFurnishingsFurnishedParkingNoGarageNoGarden/patioNoBalcony/ro...",Room,N/A,8,https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/40/95404509.jpg,"https://photos2.spareroom.co.uk/images/flatshare/listings/large/95/40/95404509.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/40/95404510.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/40/95404516.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/40/95404513.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/40/95404519.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/40/95404530.jpg, https://photos2.spareroom.co.uk/images/flatshare/listings/square/95/40/95404529.jpg, https://assets.spareroom.co.uk/images/spareroom/v4/search/list/BR_14x11.png","Free tocontact","UK London Flat","Parking, Garden, Balcony, Bills Included, Furnished",,,No,1-Sep-25,No,Some,Yes,Yes,"£1,083.00",,,,,No,Furnished,No,No,"1 Female, 1 Male",No,,None,,"12 months",,"2025-08-18 12:18:14","2025-08-18 12:18:14",available
